episode,timestep,reward
709,710000,771.75
711,712000,770.25
713,714000,771.25
715,716000,779.25
717,718000,772.25
719,720000,766.0
721,722000,771.0
723,724000,773.25
725,726000,772.25
727,728000,770.25
729,730000,773.5
731,732000,766.75
733,734000,773.5
735,736000,779.0
737,738000,780.75
739,740000,786.5
741,742000,781.25
743,744000,772.75
745,746000,774.25
747,748000,781.5
749,750000,773.25
751,752000,785.5
753,754000,791.5
755,756000,790.0
757,758000,790.5
759,760000,792.75
761,762000,803.75
763,764000,806.0
765,766000,806.5
767,768000,808.5
769,770000,807.5
771,772000,802.5
773,774000,805.0
775,776000,805.75
777,778000,808.25
779,780000,801.25
781,782000,806.75
783,784000,807.0
785,786000,813.75
787,788000,810.75
789,790000,805.25
791,792000,809.25
793,794000,810.75
795,796000,808.0
797,798000,805.5
799,800000,803.0
801,802000,809.5
803,804000,812.5
805,806000,809.0
807,808000,810.0
809,810000,813.75
811,812000,811.0
813,814000,808.25
815,816000,810.5
817,818000,818.5
819,820000,810.0
821,822000,810.25
823,824000,812.75
825,826000,813.0
827,828000,806.75
829,830000,813.5
831,832000,810.75
833,834000,814.5
835,836000,811.5
837,838000,809.0
839,840000,812.5
841,842000,814.0
843,844000,808.0
845,846000,811.75
847,848000,810.0
849,850000,810.75
851,852000,813.0
853,854000,808.75
855,856000,813.75
857,858000,811.25
859,860000,811.75
861,862000,815.0
863,864000,807.5
865,866000,814.0
867,868000,812.0
869,870000,811.25
871,872000,811.0
873,874000,814.0
875,876000,812.75
877,878000,811.0
879,880000,809.0
881,882000,814.5
883,884000,810.5
885,886000,806.75
887,888000,808.75
889,890000,807.5
891,892000,813.5
893,894000,810.75
895,896000,811.0
897,898000,809.75
899,900000,806.75
901,902000,806.75
903,904000,807.75
905,906000,809.75
907,908000,810.0
909,910000,802.0
911,912000,808.25
913,914000,800.25
915,916000,807.75
917,918000,809.5
919,920000,808.75
921,922000,806.25
923,924000,810.0
925,926000,812.5
927,928000,813.0
929,930000,817.25
931,932000,815.5
933,934000,813.25
935,936000,813.25
937,938000,814.5
939,940000,815.5
941,942000,810.75
943,944000,813.75
945,946000,816.5
947,948000,814.75
949,950000,813.5
951,952000,815.0
953,954000,819.0
955,956000,816.5
957,958000,818.0
959,960000,816.5
961,962000,819.5
963,964000,815.25
965,966000,814.5
967,968000,816.5
969,970000,815.5
971,972000,818.25
973,974000,816.5
975,976000,814.0
977,978000,816.5
979,980000,817.5
981,982000,818.75
983,984000,813.0
985,986000,810.5
987,988000,815.0
989,990000,815.75
991,992000,821.0
993,994000,816.75
995,996000,816.75
997,998000,816.75
999,1000000,817.0
1001,1002000,819.0
1003,1004000,821.75
1005,1006000,821.75
1007,1008000,822.5
1009,1010000,821.5
1011,1012000,822.5
1013,1014000,820.25
1015,1016000,821.25
1017,1018000,823.5
1019,1020000,823.5
1021,1022000,823.25
1023,1024000,819.5
1025,1026000,821.5
1027,1028000,821.25
1029,1030000,818.75
1031,1032000,819.0
1033,1034000,822.5
1035,1036000,822.0
1037,1038000,823.5
1039,1040000,823.0
1041,1042000,821.75
1043,1044000,823.5
1045,1046000,821.5
1047,1048000,821.0
1049,1050000,823.0
1051,1052000,822.75
1053,1054000,820.5
1055,1056000,824.0
1057,1058000,823.0
1059,1060000,822.0
1061,1062000,820.5
1063,1064000,825.0
1065,1066000,822.0
1067,1068000,820.5
1069,1070000,823.5
1071,1072000,822.0
1073,1074000,823.5
1075,1076000,821.0
1077,1078000,826.0
1079,1080000,823.5
1081,1082000,821.5
1083,1084000,821.0
1085,1086000,823.5
1087,1088000,822.0
1089,1090000,821.25
1091,1092000,823.0
1093,1094000,822.0
1095,1096000,821.0
1097,1098000,821.0
1099,1100000,820.5
1101,1102000,822.5
1103,1104000,825.0
1105,1106000,822.0
1107,1108000,822.0
1109,1110000,823.0
1111,1112000,821.5
1113,1114000,821.5
1115,1116000,821.75
1117,1118000,821.75
1119,1120000,819.5
1121,1122000,819.5
1123,1124000,822.75
1125,1126000,825.25
1127,1128000,820.5
1129,1130000,820.5
1131,1132000,820.0
1133,1134000,822.5
1135,1136000,823.5
1137,1138000,821.5
1139,1140000,822.0
1141,1142000,820.5
1143,1144000,821.25
1145,1146000,819.5
1147,1148000,819.5
1149,1150000,820.0
1151,1152000,821.0
1153,1154000,817.5
1155,1156000,816.25
1157,1158000,819.5
1159,1160000,818.0
1161,1162000,820.5
1163,1164000,820.0
1165,1166000,820.0
1167,1168000,820.5
1169,1170000,820.75
1171,1172000,817.5
1173,1174000,819.5
1175,1176000,822.0
1177,1178000,822.5
1179,1180000,818.25
1181,1182000,814.25
1183,1184000,818.0
1185,1186000,817.25
1187,1188000,818.0
1189,1190000,816.5
1191,1192000,816.75
1193,1194000,815.5
1195,1196000,818.5
1197,1198000,818.0
1199,1200000,822.0
1201,1202000,818.0
1203,1204000,820.0
1205,1206000,817.25
1207,1208000,821.0
1209,1210000,820.0
1211,1212000,821.0
1213,1214000,824.5
1215,1216000,823.0
1217,1218000,822.25
1219,1220000,821.25
1221,1222000,818.0
1223,1224000,820.5
1225,1226000,819.0
1227,1228000,813.25
1229,1230000,818.0
1231,1232000,818.5
1233,1234000,818.0
1235,1236000,820.5
1237,1238000,822.0
1239,1240000,818.0
1241,1242000,820.5
1243,1244000,820.5
1245,1246000,819.5
1247,1248000,816.5
1249,1250000,816.5
1251,1252000,819.5
1253,1254000,822.0
1255,1256000,820.25
1257,1258000,820.0
1259,1260000,821.5
1261,1262000,818.0
1263,1264000,822.75
1265,1266000,821.75
1267,1268000,820.5
1269,1270000,821.0
1271,1272000,818.5
1273,1274000,820.0
1275,1276000,823.5
1277,1278000,820.5
1279,1280000,822.0
1281,1282000,818.5
1283,1284000,822.5
1285,1286000,824.5
1287,1288000,822.5
1289,1290000,822.0
1291,1292000,819.25
1293,1294000,822.0
1295,1296000,821.5
1297,1298000,820.0
1299,1300000,820.5
1301,1302000,821.0
1303,1304000,823.5
1305,1306000,821.5
1307,1308000,820.5
1309,1310000,823.5
1311,1312000,821.0
1313,1314000,819.0
1315,1316000,823.5
1317,1318000,820.5
1319,1320000,822.0
1321,1322000,821.0
1323,1324000,823.0
1325,1326000,824.0
1327,1328000,821.0
1329,1330000,820.0
1331,1332000,821.0
1333,1334000,824.0
1335,1336000,822.0
1337,1338000,820.0
1339,1340000,821.75
1341,1342000,819.75
1343,1344000,822.5
1345,1346000,822.5
1347,1348000,824.0
1349,1350000,822.5
1351,1352000,820.0
1353,1354000,821.25
1355,1356000,822.0
1357,1358000,822.5
1359,1360000,823.5
1361,1362000,818.5
1363,1364000,822.5
1365,1366000,822.5
1367,1368000,819.0
1369,1370000,822.5
1371,1372000,822.0
1373,1374000,822.5
1375,1376000,824.5
1377,1378000,824.0
1379,1380000,819.0
1381,1382000,823.0
1383,1384000,822.0
1385,1386000,819.25
1387,1388000,820.0
1389,1390000,815.25
1391,1392000,806.0
1393,1394000,808.0
1395,1396000,809.0
1397,1398000,809.5
1399,1400000,811.75
1401,1402000,811.25
1403,1404000,808.5
1405,1406000,810.75
1407,1408000,808.75
1409,1410000,808.5
1411,1412000,805.25
1413,1414000,805.0
1415,1416000,807.0
1417,1418000,809.0
1419,1420000,806.25
1421,1422000,805.75
1423,1424000,803.25
1425,1426000,806.5
1427,1428000,804.75
1429,1430000,808.0
1431,1432000,806.75
1433,1434000,810.5
1435,1436000,814.5
1437,1438000,813.5
1439,1440000,815.5
1441,1442000,815.0
1443,1444000,812.5
1445,1446000,813.5
1447,1448000,811.25
1449,1450000,812.0
1451,1452000,814.75
1453,1454000,815.75
1455,1456000,817.5
1457,1458000,819.0
1459,1460000,816.75
1461,1462000,814.0
1463,1464000,813.75
1465,1466000,817.25
1467,1468000,814.75
1469,1470000,812.25
1471,1472000,817.25
1473,1474000,814.75
1475,1476000,815.5
1477,1478000,813.25
1479,1480000,816.5
1481,1482000,816.75
1483,1484000,816.0
1485,1486000,817.25
1487,1488000,818.0
1489,1490000,817.25
1491,1492000,822.0
1493,1494000,818.0
1495,1496000,816.0
1497,1498000,819.25
1499,1500000,817.0
1501,1502000,819.0
1503,1504000,819.5
1505,1506000,819.5
1507,1508000,821.0
1509,1510000,818.5
1511,1512000,821.25
1513,1514000,819.25
1515,1516000,820.25
1517,1518000,821.0
1519,1520000,818.75
1521,1522000,820.25
1523,1524000,818.5
1525,1526000,822.5
1527,1528000,821.0
1529,1530000,820.0
1531,1532000,820.0
1533,1534000,820.5
1535,1536000,822.75
1537,1538000,820.75
1539,1540000,819.75
1541,1542000,820.75
1543,1544000,818.0
1545,1546000,820.25
1547,1548000,819.75
1549,1550000,818.75
1551,1552000,820.5
1553,1554000,823.25
1555,1556000,820.5
1557,1558000,817.5
1559,1560000,818.75
1561,1562000,815.75
1563,1564000,819.0
1565,1566000,816.5
1567,1568000,818.25
1569,1570000,818.5
1571,1572000,819.0
1573,1574000,821.0
1575,1576000,821.75
1577,1578000,818.75
1579,1580000,816.25
1581,1582000,820.5
1583,1584000,819.5
1585,1586000,820.0
1587,1588000,817.0
1589,1590000,820.25
1591,1592000,819.25
1593,1594000,817.0
1595,1596000,814.0
1597,1598000,815.75
1599,1600000,818.0
1601,1602000,817.0
1603,1604000,817.25
1605,1606000,815.0
1607,1608000,817.25
1609,1610000,812.75
1611,1612000,815.5
1613,1614000,813.5
1615,1616000,820.5
1617,1618000,821.5
1619,1620000,821.0
1621,1622000,822.0
1623,1624000,821.25
1625,1626000,817.5
1627,1628000,818.5
1629,1630000,815.75
1631,1632000,819.0
1633,1634000,819.0
1635,1636000,820.25
1637,1638000,817.75
1639,1640000,819.75
1641,1642000,815.5
1643,1644000,818.5
1645,1646000,819.0
1647,1648000,818.5
1649,1650000,822.75
