episode,timestep,reward
1,2000,147.5
3,4000,136.0
5,6000,151.5
7,8000,143.0
9,10000,145.0
11,12000,160.5
13,14000,144.5
15,16000,144.5
17,18000,165.0
19,20000,174.5
21,22000,191.0
23,24000,207.0
25,26000,210.5
27,28000,213.0
29,30000,222.5
31,32000,221.5
33,34000,227.0
35,36000,242.5
37,38000,254.0
39,40000,244.0
41,42000,239.0
43,44000,258.0
45,46000,271.5
47,48000,271.0
49,50000,269.5
51,52000,280.0
53,54000,270.5
55,56000,289.0
57,58000,302.5
59,60000,302.5
61,62000,299.0
63,64000,301.5
65,66000,316.5
67,68000,322.5
69,70000,336.5
71,72000,330.0
73,74000,337.0
75,76000,337.5
77,78000,330.0
79,80000,339.5
81,82000,346.0
83,84000,353.5
85,86000,344.5
87,88000,341.5
89,90000,349.0
91,92000,352.5
93,94000,348.5
95,96000,353.5
97,98000,370.5
99,100000,365.0
101,102000,362.0
103,104000,361.0
105,106000,369.0
107,108000,369.0
109,110000,370.5
111,112000,373.5
113,114000,381.0
115,116000,380.5
117,118000,372.5
119,120000,388.5
121,122000,389.0
123,124000,378.0
125,126000,392.0
127,128000,390.0
129,130000,386.0
131,132000,386.5
133,134000,401.0
135,136000,385.5
137,138000,395.0
139,140000,387.5
141,142000,399.0
143,144000,405.0
145,146000,406.5
147,148000,413.0
149,150000,412.5
151,152000,412.0
153,154000,414.5
155,156000,412.0
157,158000,412.5
159,160000,416.5
161,162000,422.0
163,164000,421.5
165,166000,425.5
167,168000,417.5
169,170000,420.0
171,172000,422.0
173,174000,417.5
175,176000,420.0
177,178000,422.5
179,180000,419.5
181,182000,426.5
183,184000,422.0
185,186000,430.0
187,188000,418.0
189,190000,423.0
191,192000,417.0
193,194000,414.5
195,196000,412.5
197,198000,414.0
199,200000,413.5
201,202000,412.5
203,204000,416.0
205,206000,416.5
207,208000,413.5
209,210000,411.0
211,212000,414.0
213,214000,406.5
215,216000,417.5
217,218000,411.0
219,220000,408.5
221,222000,414.0
223,224000,412.5
225,226000,419.5
227,228000,416.0
229,230000,417.0
231,232000,414.5
233,234000,413.0
235,236000,426.5
237,238000,410.5
239,240000,402.0
241,242000,428.5
243,244000,420.0
245,246000,416.0
247,248000,408.5
249,250000,414.0
251,252000,419.0
253,254000,429.0
255,256000,433.0
257,258000,423.5
259,260000,423.5
261,262000,427.0
263,264000,415.0
265,266000,424.0
267,268000,422.0
269,270000,425.0
271,272000,418.0
273,274000,425.5
275,276000,424.5
277,278000,421.5
279,280000,422.5
281,282000,418.0
283,284000,415.5
285,286000,420.0
287,288000,422.5
289,290000,423.5
291,292000,423.5
293,294000,422.0
295,296000,416.5
297,298000,415.5
299,300000,431.0
301,302000,416.5
303,304000,427.0
305,306000,429.5
307,308000,410.5
309,310000,420.5
311,312000,426.5
313,314000,417.5
315,316000,421.0
317,318000,428.5
319,320000,419.0
321,322000,423.5
323,324000,426.5
325,326000,419.5
327,328000,424.5
329,330000,431.5
331,332000,428.0
333,334000,432.0
335,336000,431.0
337,338000,426.5
339,340000,415.0
341,342000,413.5
343,344000,420.0
345,346000,416.5
347,348000,407.0
349,350000,416.5
351,352000,409.0
353,354000,420.0
355,356000,418.5
357,358000,416.0
359,360000,420.0
361,362000,420.0
363,364000,422.5
365,366000,418.5
367,368000,423.0
369,370000,423.5
371,372000,422.5
373,374000,423.5
375,376000,424.0
377,378000,426.5
379,380000,421.0
381,382000,424.0
383,384000,421.0
385,386000,427.0
387,388000,421.5
389,390000,422.5
391,392000,418.0
393,394000,424.5
395,396000,418.5
397,398000,421.0
399,400000,415.0
401,402000,417.0
403,404000,422.0
405,406000,425.0
407,408000,412.5
409,410000,423.0
411,412000,423.0
413,414000,424.0
415,416000,428.5
417,418000,427.5
419,420000,424.5
421,422000,431.0
423,424000,429.0
425,426000,432.0
427,428000,427.5
