,date,0,1,2
0,2022-02-26 00:00:00,34.36442565917969,[-0.91557306],35.279998779296875
1,2022-02-26 00:10:00,34.36442565917969,[-0.91557306],35.279998779296875
2,2022-02-26 00:20:00,34.36442565917969,[-0.91557306],35.279998779296875
3,2022-02-26 00:30:00,34.36442565917969,[-0.91557306],35.279998779296875
4,2022-02-26 00:40:00,34.36442565917969,[-0.91557306],35.279998779296875
5,2022-02-26 00:50:00,34.36442565917969,[-0.91557306],35.279998779296875
6,2022-02-26 01:00:00,34.27101516723633,[-1.0489857],35.31999969482422
7,2022-02-26 01:10:00,34.27101516723633,[-1.0489857],35.31999969482422
8,2022-02-26 01:20:00,34.27101516723633,[-1.0489857],35.31999969482422
9,2022-02-26 01:30:00,34.27101516723633,[-1.0489857],35.31999969482422
10,2022-02-26 01:40:00,34.27101516723633,[-1.0489857],35.31999969482422
11,2022-02-26 01:50:00,34.27101516723633,[-1.0489857],35.31999969482422
12,2022-02-26 02:00:00,35.2596435546875,[-0.54435825],35.80400085449219
13,2022-02-26 02:10:00,35.2596435546875,[-0.54435825],35.80400085449219
14,2022-02-26 02:20:00,35.2596435546875,[-0.54435825],35.80400085449219
15,2022-02-26 02:30:00,35.2596435546875,[-0.54435825],35.80400085449219
16,2022-02-26 02:40:00,35.2596435546875,[-0.54435825],35.80400085449219
17,2022-02-26 02:50:00,35.2596435546875,[-0.54435825],35.80400085449219
18,2022-02-26 03:00:00,34.924705505371094,[-0.9302926],35.85499954223633
19,2022-02-26 03:10:00,34.924705505371094,[-0.9302926],35.85499954223633
20,2022-02-26 03:20:00,34.924705505371094,[-0.9302926],35.85499954223633
21,2022-02-26 03:30:00,34.924705505371094,[-0.9302926],35.85499954223633
22,2022-02-26 03:40:00,34.924705505371094,[-0.9302926],35.85499954223633
23,2022-02-26 03:50:00,34.924705505371094,[-0.9302926],35.85499954223633
24,2022-02-26 04:00:00,35.08042526245117,[-0.80623966],35.88666534423828
25,2022-02-26 04:10:00,35.08042526245117,[-0.80623966],35.88666534423828
26,2022-02-26 04:20:00,35.08042526245117,[-0.80623966],35.88666534423828
27,2022-02-26 04:30:00,35.08042526245117,[-0.80623966],35.88666534423828
28,2022-02-26 04:40:00,35.08042526245117,[-0.80623966],35.88666534423828
29,2022-02-26 04:50:00,35.08042526245117,[-0.80623966],35.88666534423828
30,2022-02-26 05:00:00,35.170379638671875,[-0.8071224],35.977500915527344
31,2022-02-26 05:10:00,35.170379638671875,[-0.8071224],35.977500915527344
32,2022-02-26 05:20:00,35.170379638671875,[-0.8071224],35.977500915527344
33,2022-02-26 05:30:00,35.170379638671875,[-0.8071224],35.977500915527344
34,2022-02-26 05:40:00,35.170379638671875,[-0.8071224],35.977500915527344
35,2022-02-26 05:50:00,35.170379638671875,[-0.8071224],35.977500915527344
36,2022-02-26 06:00:00,35.16875076293945,[-0.7162465],35.8849983215332
37,2022-02-26 06:10:00,35.16875076293945,[-0.7162465],35.8849983215332
38,2022-02-26 06:20:00,35.16875076293945,[-0.7162465],35.8849983215332
39,2022-02-26 06:30:00,35.16875076293945,[-0.7162465],35.8849983215332
40,2022-02-26 06:40:00,35.16875076293945,[-0.7162465],35.8849983215332
41,2022-02-26 06:50:00,35.16875076293945,[-0.7162465],35.8849983215332
42,2022-02-26 07:00:00,34.989784240722656,[-0.88321626],35.87300109863281
43,2022-02-26 07:10:00,34.989784240722656,[-0.88321626],35.87300109863281
44,2022-02-26 07:20:00,34.989784240722656,[-0.88321626],35.87300109863281
45,2022-02-26 07:30:00,34.989784240722656,[-0.88321626],35.87300109863281
46,2022-02-26 07:40:00,34.989784240722656,[-0.88321626],35.87300109863281
47,2022-02-26 07:50:00,34.989784240722656,[-0.88321626],35.87300109863281
48,2022-02-26 08:00:00,34.886138916015625,[-0.85136044],35.73749923706055
49,2022-02-26 08:10:00,34.886138916015625,[-0.85136044],35.73749923706055
50,2022-02-26 08:20:00,34.886138916015625,[-0.85136044],35.73749923706055
51,2022-02-26 08:30:00,34.886138916015625,[-0.85136044],35.73749923706055
52,2022-02-26 08:40:00,34.886138916015625,[-0.85136044],35.73749923706055
53,2022-02-26 08:50:00,34.886138916015625,[-0.85136044],35.73749923706055
54,2022-02-26 09:00:00,34.582618713378906,[-1.097382],35.68000030517578
55,2022-02-26 09:10:00,34.582618713378906,[-1.097382],35.68000030517578
56,2022-02-26 09:20:00,34.582618713378906,[-1.097382],35.68000030517578
57,2022-02-26 09:30:00,34.582618713378906,[-1.097382],35.68000030517578
58,2022-02-26 09:40:00,34.582618713378906,[-1.097382],35.68000030517578
59,2022-02-26 09:50:00,34.582618713378906,[-1.097382],35.68000030517578
60,2022-02-26 10:00:00,34.74691390991211,[-1.063089],35.810001373291016
61,2022-02-26 10:10:00,34.74691390991211,[-1.063089],35.810001373291016
62,2022-02-26 10:20:00,34.74691390991211,[-1.063089],35.810001373291016
63,2022-02-26 10:30:00,34.74691390991211,[-1.063089],35.810001373291016
64,2022-02-26 10:40:00,34.74691390991211,[-1.063089],35.810001373291016
65,2022-02-26 10:50:00,34.74691390991211,[-1.063089],35.810001373291016
66,2022-02-26 11:00:00,34.97673034667969,[-0.94993526],35.926666259765625
67,2022-02-26 11:10:00,34.97673034667969,[-0.94993526],35.926666259765625
68,2022-02-26 11:20:00,34.97673034667969,[-0.94993526],35.926666259765625
69,2022-02-26 11:30:00,34.97673034667969,[-0.94993526],35.926666259765625
70,2022-02-26 11:40:00,34.97673034667969,[-0.94993526],35.926666259765625
